# a small number of samples are being processed and this list will be updated soon
CAMB-7A0B6,ERS4946940,EPI_ISL_440556
CAMB-7A0C5,ERS4946999,EPI_ISL_440612
CAMB-7A0D4,ERS4946829,EPI_ISL_441245
CAMB-7A0E3,ERS4946878,EPI_ISL_441290
CAMB-7A0F2,ERS4946888,EPI_ISL_441300
CAMB-7A10E,ERS4946981,EPI_ISL_440595
CAMB-7A11D,ERS4946975,EPI_ISL_440589
CAMB-7A12C,ERS4946828,EPI_ISL_441244
CAMB-7A13B,ERS4946941,EPI_ISL_440557
CAMB-7A14A,ERS4946877,EPI_ISL_441289
CAMB-7A159,ERS4946972,EPI_ISL_440586
CAMB-7A168,ERS4946818,EPI_ISL_441236
CAMB-7A177,ERS4946871,EPI_ISL_441283
CAMB-7A195,ERS4946927,EPI_ISL_441338
CAMB-7A1A4,ERS4946974,EPI_ISL_440588
CAMB-7A1B3,ERS4946967,EPI_ISL_440581
CAMB-7A1C2,ERS4946862,NULL
CAMB-7A1D1,ERS4946910,EPI_ISL_441321
CAMB-7A1E0,ERS4946865,EPI_ISL_441278
CAMB-7A1FF,ERS4946960,EPI_ISL_440575
CAMB-7A20B,ERS4946920,EPI_ISL_441331
CAMB-7A21A,ERS4946969,EPI_ISL_440583
CAMB-7A229,ERS4946813,EPI_ISL_441231
CAMB-7A247,ERS4946810,EPI_ISL_441228
CAMB-7A256,NULL,NULL
CAMB-7A265,ERS4946853,EPI_ISL_441267
CAMB-7A274,ERS4946903,EPI_ISL_441314
CAMB-7A283,ERS4946804,EPI_ISL_441223
CAMB-7A292,ERS4946892,EPI_ISL_441304
CAMB-7A2A1,ERS4946996,EPI_ISL_440609
CAMB-7A2B0,ERS4946571,EPI_ISL_441790
CAMB-7A2CF,ERS4946674,EPI_ISL_441095
CAMB-7A2DE,ERS4946707,EPI_ISL_441127
CAMB-7A2ED,ERS4946682,NULL
CAMB-7A2FC,ERS4946626,EPI_ISL_441844
CAMB-7A308,ERS4946591,EPI_ISL_441810
CAMB-7A326,ERS4946637,EPI_ISL_441060
CAMB-7A335,ERS4946904,EPI_ISL_441315
CAMB-7A344,ERS4946932,EPI_ISL_441343
CAMB-7A353,ERS4946881,EPI_ISL_441293
CAMB-7A362,ERS4946998,EPI_ISL_440611
CAMB-7A371,ERS4946909,EPI_ISL_441320
CAMB-7A380,ERS4946994,EPI_ISL_440607
CAMB-7A39F,ERS4946688,EPI_ISL_441108
CAMB-7A3AE,ERS4946945,EPI_ISL_440561
CAMB-7A3BD,ERS4946656,EPI_ISL_441077
CAMB-7A3CC,ERS4946959,EPI_ISL_440574
CAMB-7A3DB,ERS4946568,EPI_ISL_441787
CAMB-7A3EA,ERS4946950,EPI_ISL_440566
CAMB-7A405,ERS4946923,EPI_ISL_441334
CAMB-7A441,ERS4946912,EPI_ISL_441323
CAMB-7A450,ERS4946564,EPI_ISL_441783
CAMB-7A46F,ERS4946979,EPI_ISL_440593
CAMB-7A47E,ERS4946611,EPI_ISL_441830
CAMB-7A48D,ERS4946838,EPI_ISL_441253
CAMB-7A49C,ERS4946748,EPI_ISL_441167
CAMB-7A4AB,ERS4946956,EPI_ISL_440571
CAMB-7A4BA,ERS4946861,EPI_ISL_441275
CAMB-7A4C9,ERS4946976,EPI_ISL_440590
CAMB-7A4D8,ERS4946879,EPI_ISL_441291
CAMB-7A4E7,ERS4946868,NULL
CAMB-7A4F6,ERS4946817,EPI_ISL_441235
CAMB-7A502,ERS4946905,EPI_ISL_441316
CAMB-7A511,ERS4946842,EPI_ISL_441257
CAMB-7A520,ERS4946915,EPI_ISL_441326
CAMB-7A53F,ERS4946955,NULL
CAMB-7A55D,ERS4946647,EPI_ISL_441068
CAMB-7A56C,ERS4946836,EPI_ISL_441251
CAMB-7A57B,ERS4946581,EPI_ISL_441800
CAMB-7A58A,ERS4946812,EPI_ISL_441230
CAMB-7A599,ERS4946593,EPI_ISL_441812
CAMB-7A5A8,ERS4946606,EPI_ISL_441825
CAMB-7A5B7,ERS4946680,EPI_ISL_441101
CAMB-7A5C6,ERS4946671,EPI_ISL_441092
CAMB-7A5D5,ERS4946644,EPI_ISL_441065
CAMB-7A5E4,ERS4946676,EPI_ISL_441097
CAMB-7A5F3,ERS4946627,EPI_ISL_441845
CAMB-7A60F,ERS4946565,EPI_ISL_441784
CAMB-7A61E,ERS4946774,EPI_ISL_441193
CAMB-7A62D,ERS4946771,EPI_ISL_441190
CAMB-7A63C,ERS4946988,EPI_ISL_440602
CAMB-7A64B,ERS4947005,EPI_ISL_440618
CAMB-7A65A,ERS4946891,EPI_ISL_441303
CAMB-7A669,ERS4946906,EPI_ISL_441317
CAMB-7A678,ERS4946841,EPI_ISL_441256
CAMB-7A687,ERS4946936,EPI_ISL_441347
CAMB-7A696,ERS4947001,EPI_ISL_440614
CAMB-7A6A5,ERS4946973,EPI_ISL_440587
CAMB-7A6B4,ERS4946922,EPI_ISL_441333
CAMB-7A6C3,ERS4946587,EPI_ISL_441806
CAMB-7A6E1,ERS4946722,EPI_ISL_441142
CAMB-7A6F0,ERS4946939,EPI_ISL_440555
CAMB-7A70C,ERS4946758,EPI_ISL_441177
CAMB-7A71B,ERS4946947,EPI_ISL_440563
CAMB-7A72A,ERS4946620,EPI_ISL_441838
CAMB-7A739,ERS4946715,EPI_ISL_441135
CAMB-7A748,ERS4946673,EPI_ISL_441094
CAMB-7A757,ERS4946757,EPI_ISL_441176
CAMB-7A766,ERS4946634,EPI_ISL_441057
CAMB-7A775,ERS4946964,EPI_ISL_440578
CAMB-7A784,ERS4946953,EPI_ISL_440569
CAMB-7A793,ERS4946857,EPI_ISL_441271
CAMB-7A7A2,ERS4946840,EPI_ISL_441255
CAMB-7A7B1,ERS4946826,EPI_ISL_441242
CAMB-7A7C0,ERS4946954,EPI_ISL_440570
CAMB-7A7DF,ERS4946882,EPI_ISL_441294
CAMB-7A7EE,ERS4946968,EPI_ISL_440582
CAMB-7A7FD,ERS4946977,EPI_ISL_440591
CAMB-7A809,ERS4946855,EPI_ISL_441269
CAMB-7A818,ERS4946834,EPI_ISL_441249
CAMB-7A827,ERS4946970,EPI_ISL_440584
CAMB-7A836,ERS4946934,EPI_ISL_441345
CAMB-7A854,ERS4946714,EPI_ISL_441134
CAMB-7A863,ERS4946712,EPI_ISL_441132
CAMB-7A872,ERS4946802,EPI_ISL_441221
CAMB-7A881,ERS4946648,EPI_ISL_441069
CAMB-7A890,ERS4946753,EPI_ISL_441172
CAMB-7A8EB,ERS4946759,EPI_ISL_441178
CAMB-7A924,ERS4946697,EPI_ISL_441117
CAMB-7A942,ERS4946629,EPI_ISL_441052
CAMB-7A960,ERS4946605,EPI_ISL_441824
CAMB-7A98E,ERS4946786,EPI_ISL_441205
CAMB-7A99D,ERS4946933,EPI_ISL_441344
CAMB-7A9AC,ERS4946816,EPI_ISL_441234
CAMB-7A9CA,ERS4946966,EPI_ISL_440580
CAMB-7A9D9,ERS4946931,EPI_ISL_441342
CAMB-7A9E8,ERS4946949,EPI_ISL_440565
CAMB-7AA21,ERS4946821,EPI_ISL_441239
CAMB-7B589,ERS4946874,EPI_ISL_441286
CAMB-7B598,ERS4946875,EPI_ISL_441287
CAMB-7B5A7,ERS4946907,EPI_ISL_441318
CAMB-7B5C5,ERS4947003,EPI_ISL_440616
CAMB-7B5D4,ERS4946769,EPI_ISL_441188
CAMB-7B61D,ERS4946799,EPI_ISL_441218
CAMB-7B62C,ERS4946776,EPI_ISL_441195
CAMB-7B64A,ERS4946702,EPI_ISL_441122
CAMB-7B659,ERS4946689,EPI_ISL_441109
CAMB-7B668,ERS4946789,EPI_ISL_441208
CAMB-7B677,ERS4946632,EPI_ISL_441055
CAMB-7B686,ERS4946662,EPI_ISL_441083
CAMB-7B695,ERS4946984,EPI_ISL_440598
CAMB-7B6A4,ERS4946666,EPI_ISL_441087
