# a small number of samples are being processed and this list will be updated soon
CAMB-726DA,ERS4945913,EPI_ISL_439613
CAMB-726E9,ERS4945982,EPI_ISL_439879
CAMB-726F8,ERS4945987,EPI_ISL_439884
CAMB-72704,ERS4945985,EPI_ISL_439882
CAMB-72713,ERS4945958,EPI_ISL_439658
CAMB-72722,ERS4945945,EPI_ISL_439645
CAMB-72731,ERS4945935,EPI_ISL_439635
CAMB-72740,ERS4945944,EPI_ISL_439644
CAMB-7275F,ERS4946029,EPI_ISL_439922
CAMB-7276E,ERS4945984,EPI_ISL_439881
CAMB-7277D,ERS4945938,EPI_ISL_439638
CAMB-7278C,ERS4945863,EPI_ISL_439565
CAMB-7279B,ERS4945871,EPI_ISL_439573
CAMB-727AA,ERS4946032,EPI_ISL_439925
CAMB-727C8,ERS4945834,EPI_ISL_439538
CAMB-727D7,ERS4945996,NULL
CAMB-727E6,ERS4945879,EPI_ISL_439580
CAMB-727F5,ERS4946035,EPI_ISL_439928
CAMB-72801,ERS4945897,EPI_ISL_439597
CAMB-72810,ERS4946057,EPI_ISL_439949
CAMB-7282F,ERS4945906,EPI_ISL_439606
CAMB-7283E,ERS4945980,EPI_ISL_439877
CAMB-7284D,ERS4945891,EPI_ISL_439591
CAMB-7285C,ERS4945833,EPI_ISL_439537
CAMB-7286B,ERS4946038,EPI_ISL_439931
CAMB-7287A,ERS4945930,EPI_ISL_439630
CAMB-72889,ERS4946019,EPI_ISL_439912
CAMB-72898,ERS4945974,EPI_ISL_439872
CAMB-728A7,ERS4945939,EPI_ISL_439639
CAMB-728B6,ERS4946049,EPI_ISL_439941
CAMB-728C5,ERS4945976,EPI_ISL_439874
CAMB-728D4,ERS4945867,EPI_ISL_439569
CAMB-728E3,ERS4946020,EPI_ISL_439913
CAMB-728F2,ERS4945858,EPI_ISL_439561
CAMB-7291D,ERS4945989,EPI_ISL_439886
CAMB-7292C,ERS4946015,EPI_ISL_439909
CAMB-7293B,ERS4945994,EPI_ISL_439890
CAMB-7294A,ERS4945894,EPI_ISL_439594
CAMB-72959,ERS4945859,EPI_ISL_439562
CAMB-72968,ERS4945981,EPI_ISL_439878
CAMB-72977,ERS4945965,EPI_ISL_439863
CAMB-72986,ERS4945864,EPI_ISL_439566
CAMB-72995,ERS4945991,EPI_ISL_439888
CAMB-729A4,ERS4945866,EPI_ISL_439568
